date, open, high, low, closing, swap
2011/06/02,80.89,81.33,80.52,80.89,
2011/06/03,80.96,81.03,80.05,80.23,1
2011/06/06,80.3,80.4,79.97,80.1,1
2011/06/07,80.13,80.34,79.97,80.09,1
2011/06/08,80.13,80.29,79.69,79.88,3
2011/06/09,79.92,80.43,79.84,80.36,1
2011/06/10,80.38,80.47,79.96,80.33,1
2011/06/13,80.29,80.7,80.11,80.24,2
2011/06/14,80.22,80.63,80.09,80.49,1
2011/06/15,80.53,81.07,80.38,80.96,7
2011/06/16,80.98,81.04,80.48,80.68,2
2011/06/17,80.63,80.68,80.01,80.03,1
2011/06/20,80.1,80.37,80.02,80.25,1
2011/06/21,80.29,80.35,80.05,80.2,1
2011/06/22,80.29,80.39,80.01,80.31,6
2011/06/23,80.34,80.8,80.31,80.51,2
2011/06/24,80.48,80.61,80.13,80.45,1
2011/06/27,80.47,80.99,80.43,80.92,1
2011/06/28,80.9,81.28,80.66,81.11,5
2011/06/29,81.09,81.19,80.55,80.78,10
2011/06/30,80.8,80.87,80.26,80.55,
2011/07/01,80.56,81.15,80.53,80.8,2
2011/07/04,80.86,80.91,80.53,80.8,1
2011/07/05,80.76,81.19,80.7,81.1,2
2011/07/06,81.1,81.13,80.77,80.9,9
2011/07/07,80.96,81.42,80.79,81.22,1
2011/07/08,81.23,81.74,80.5,80.63,2
2011/07/11,80.6,80.84,80.1,80.24,2
2011/07/12,80.29,80.38,79.17,79.26,1
2011/07/13,79.17,79.58,78.89,79,6
2011/07/14,78.7,79.62,78.46,79.12,1
2011/07/15,79.15,79.28,78.88,79.08,
2011/07/18,79.12,79.18,78.95,79.03,1
2011/07/19,79.07,79.29,78.82,79.19,1
2011/07/20,79.18,79.32,78.7,78.77,6
2011/07/21,78.84,79.04,78.3,78.33,2
2011/07/22,78.54,78.74,78.28,78.44,1
2011/07/25,78.39,78.57,78.05,78.28,3
2011/07/26,78.27,78.72,77.83,77.9,3
2011/07/27,77.95,78.18,77.57,77.97,9
